strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
banana11, dsadsfa, 2011-03-25 22:34:56, -23.023 -14.982
strawberry1234, screennameasd1234, 2011-03-25 22:34:56, -23.023 -14.982
